x,y
22,24.08498313
37,41.14386358
24,21.97388066
95,100.740897
61,61.19971596
75,74.39517002
68,69.04377173
58,56.68718792
5,5.860391715
53,55.72021356
80,79.22021816
83,86.30177517
25,25.26971886
34,36.33294447
26,27.65574228
90,94.79690531
60,58.67366671
49,56.15934471
19,18.40919388
92,86.26936988
29,26.59436195
8,8.452520159
57,56.18131518
29,27.65452669
19,20.87391785
81,77.83354439
50,50.01787825
15,9.290856256
70,75.0284725
39,38.3037698
43,44.70786405
21,22.51016575
98,102.4959452
86,86.76845244
16,13.89748578
25,24.81824269
31,33.94224862
93,92.26970059
67,68.73365081
49,47.38516883
25,32.37576914
88,87.67388681
54,54.57648371
21,18.06450222
8,7.896539841
32,35.00341078
35,36.72823317
67,65.84975426
90,89.59295492
59,61.69026202
15,11.60499315
67,71.0826803
42,43.71901164
44,41.57421008
77,74.25552425
68,66.28310437
36,36.62438077
11,10.32374866
10,7.156457657
65,67.88603132
98,101.1097591
98,98.6132033
49,50.19083844
31,27.83896261
56,55.9249564
70,76.47340872
91,92.05756378
25,27.35245439
54,55.32083476
39,41.39990349
91,93.59057024
3,5.297054029
22,21.01429422
2,2.267059451
2,-0.121860502
65,66.49546208
71,73.83637687
42,42.10140878
76,77.35135732
43,41.02251779
8,14.75305272
86,83.28199022
87,89.93374342
3,2.286571686
58,55.61421297
62,62.15313408
89,89.55803528
95,94.00291863
28,26.78023848
0,-0.764537626
1,0.282866003
49,44.26800515
21,19.85174138
46,47.15960005
11,8.359366572
89,92.08157084
37,41.88734051
29,30.5413129
44,46.87654473
96,96.35659485
16,17.9170699
74,71.67949917
35,32.64997554
42,39.34482965
16,17.03401999
56,52.87524074
18,15.85414849
100,108.8716183
54,49.30477253
92,89.4749477
63,63.67348242
81,83.78410946
73,73.51136922
48,46.80297244
1,5.809946802
85,85.23027975
14,10.58213964
25,21.37698317
45,46.0537745
98,95.2389253
97,94.15149206
58,54.54868046
93,87.36260449
88,88.47741598
89,84.48045678
47,48.79647071
6,10.76675683
34,30.48882921
30,29.76846185
16,13.51574749
86,86.12955884
40,43.30022747
52,51.92110232
15,16.49185287
4,7.998073432
95,97.66689567
99,89.80545367
35,38.07166567
58,60.27852322
10,6.709195759
16,18.35488924
53,56.37058203
58,62.80064204
42,41.25155632
24,19.42637541
84,82.88935804
64,63.61364981
12,11.29627199
61,60.02274882
75,72.60339326
15,11.87964573
100,100.7012737
43,45.12420809
13,14.81106804
48,48.09368034
45,42.29145672
52,52.73389794
34,36.72396986
30,28.64535198
65,62.16675273
100,95.58459518
67,66.04325304
99,99.9566225
45,46.14941984
87,89.13754963
73,69.71787806
9,12.31736648
81,78.20296268
72,71.30995371
81,81.45544709
58,58.59500642
93,94.62509374
82,88.60376995
66,63.64868529
97,94.9752655
